3	nimi	1.1	1.2	1.3	1.4	1.5	1.6	1.7	1.8	2.1	2.2	2.3	2.4	2.5	2.6	2.7	2.8	3.1	3.2	3.3	3.4	3.4	3.6	3.7	3.8	4.1	4.2	4.3	4.4	4.5	4.6	4.7	4.8	5.1
1	Sivuttaisliike	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	varvas-\n pysäytys																
		oikealle	vasemmalle	oikealle	vasemmalle	oikealle	oikealle	oikealle	oikealle	vasemmalle	oikealle	vasemmalle	oikealle	vasemmalle	vasemmalle	vasemmalle	vasemmalle																	
1	Edestakaisliike	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	varvas-\n pysäytys																
		eteen	taakse	eteen	taakse	eteen	eteen	eteen	eteen	taakse	eteen	taakse	eteen	taakse	taakse	taakse	taakse																	
1	Vuoroaskelharjoitus	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	varvas-\n pysäytys																
		oik. jalalla	oik. jalalla	oik. jalalla	oik. jalalla	vas. jalalla	vas. jalalla	vas. jalalla	vas. jalalla	oik. jalalla	oik. jalalla	vas. jalalla	vas. jalalla	oik. jalalla	vas. jalalla	oik. jalalla	vas. jalalla																	
2	Cotton Eye Joe – Rednex	auki		auki		sving\n oik.		auki		auki		auki		sving\n vas.		auki		sving\n kahvat yhdessä kädessä		sving\n kahvat yhdessä kädessä		lasso pään päällä		lasso pään päällä		ruohonleikkuri		ruohonleikkuri		ruohonleikkuri		ruohonleikkuri		naru kahtia\n taiteltuna\n pään päällä
																				.														
