kategoria,liike,suoritusvaatimus,tick
4,"perushyppy välihypyllä | double bounce, auki, O",20 putkeen,1
,"perushyppy ilman välihyppyä | single bounce, auki, O",20 putkeen,1
,yhdellä jalalla ilman välihyppyä,8 putkeen,1 1
3,vuoroaskel | speed step,4 putkeen,2
,laskettelu | skier,4 putkeen,1
,kello | bell,4 putkeen,1
,haarahyppy | side straddle,*4,1
3,"sving | side swing, S",*3,1 1
,varvaspysäytys | toe catch,*3,1
1,ruohonleikkuri,*3,1 1
