4	nimi	1.1	1.2	1.3	1.4	1.5	1.6	1.7	1.8	2.1	2.2	2.3	2.4	2.5	2.6	2.7	2.8	3.1	3.2	3.3	3.4	3.4	3.6	3.7	3.8	4.1	4.2	4.3	4.4	4.5	4.6	4.7	4.8	5.1
1	Jalkaliikkeitä	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	varvas-\n pysäytys																
		haara	perus	hiihto oik.\n jalka edessä	perus	haaara	perus	hiihto vas.\n jalka edessä	perus	potku taakse\n oik. jalka	perus	potku eteen\n oik. jalka	perus	potku taakse\n vas. jalka	perus	potku eteen\n vas. jalka	perus																	
1	Suunnan vaihto ja punnerrus	auki	auki	suunnan vaihto\n  edestä taakse		_(auki)	_(auki)	suunnan vaihto\n takaa eteen		auki	auki	valepunnerrus			auki	auki	auki	varvas-\n pysäytys																
		.	.	.	.	.	.			.	.	kyykky	punnerrus	kyykky	.																			
1	Auto Jää – Antti Tuisku	auki	auki	auki		auki	auki	auki		auki		sving vas.		_(auki)		auki		auki	auki	auki	auki	auki	auki	auki		auki	auki	sving\n vas.	risti vas.\n käsi päällä	sving\n oik.	auki	auki		varvas-\n pysäytys
										.	.	puolikäännös\n  edestä taakse\n vas. kautta		puolikäännös\n takaa eteen\n vas. kautta		.		haara	perus	haara	jalkaristi	haara	perus	perus	.	.	.	.	.	.	.	.	.	
