3	nimi	1.1	1.2	1.3	1.4	1.5	1.6	1.7	1.8	2.1	2.2	2.3	2.4	2.5	2.6	2.7	2.8	3.1	3.2	3.3	3.4	3.4	3.6	3.7	3.8	4.1	4.2	4.3	4.4	4.5	4.6	4.7	4.8	5.1
1	12th Street Rag	.	.	.	.	.	.	.	.	sving\n oik.	sving\n vas.	.	.	.	.	.	.	.																
		oik. kanta\n eteen	oik. varvas\n taakse	vas. kanta\n eteen	vas. varvas\n taakse	oik. kanta\n eteen	oik. varvas\n taakse	vas. kanta\n eteen	vas. varvas\n taakse	oik. jalalla	vas. jalalla	perus	perus	perus	haara	potku taakse\n oik. jalka	potku eteen\n oik. jalka	.																
1	Running Man	running man	.	.	.	.	.	.	.	reverse running man	.	.	.	.	.	.	.	.																
		hiihto\n oik. edessä	polven nosto\n vas. jalka	hiihto\n vas. edessä	polven nosto\n oik. jalka	hiihto\n oik. edessä	polven nosto\n vas. jalka	hiihto\n vas. edessä	polven nosto\n oik. jalka	hiihto\n vas. edessä	polven nosto\n vas. jalka	hiihto\n oik. edessä	polven nosto\n oik. jalka	hiihto\n vas. edessä	polven nosto\n vas. jalka	hiihto\n oik. edessä	polven nosto\n oik. jalka	.																
1	“Hopscotch”	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	varvas-\n pysäytys																
		haara	jalkaristi\n oik. edessä	polven nosto\n oik. jalka	perus	potku taakse\n vas. jalka	kanta eteen\n vas. jalka	potku taakse\n oik. jalka	kanta eteen\n oik. jalka	haara	potku taakse\n vas. jalka	kanta eteen\n oik. jalka	polven nosto\n oik. jalka	haara	potku taakse\n vas. jalka	hiihto\n vas. edessä	perus	.																
